,object,scale,angle_deg,scattered_re_0,scattered_im_0,scattered_re_1,scattered_im_1,scattered_re_2,scattered_im_2,scattered_re_3,scattered_im_3,scattered_re_4,scattered_im_4,scattered_re_5,scattered_im_5,scattered_re_6,scattered_im_6,scattered_re_7,scattered_im_7,scattered_re_8,scattered_im_8,scattered_re_9,scattered_im_9,scattered_re_10,scattered_im_10,scattered_re_11,scattered_im_11,scattered_re_12,scattered_im_12,scattered_re_13,scattered_im_13,scattered_re_14,scattered_im_14,scattered_re_15,scattered_im_15,scattered_re_16,scattered_im_16,scattered_re_17,scattered_im_17,scattered_re_18,scattered_im_18,scattered_re_19,scattered_im_19
30,treasure,400.3433,-26.109253,0.0076556434,1.1477281,0.41402662,-0.40653145,-0.38388044,1.4194775,-1.3089947,-0.3540756,0.13079834,-0.20665863,-0.26529735,-0.16822629,-0.2876851,0.42456332,-0.5170756,-0.3857896,0.8772152,0.089098215,-1.3951646,-0.27498966,-0.056966033,0.7401062,-0.754723,-0.055732634,0.5920687,0.27240765,0.8204506,0.41963583,0.22123426,-0.82057184,-0.5619444,1.206823,-0.031842824,0.4550456,0.68901944,-0.34089583,0.5918706,0.2762037,0.7007838,-0.17795005
31,hook,306.14682,5.053344,-0.111915424,1.1139256,-0.11869025,-0.5233323,1.562756,-0.62555987,0.0938331,0.08650815,-0.03267092,-0.68625116,0.21903065,-0.7756483,1.612051,-0.069805376,0.7334601,0.98932093,-0.23162168,-0.38595384,-0.40280053,-0.6009814,-0.3987057,-0.566837,0.65218884,-0.23083188,0.016862419,-0.28857955,0.0063346624,-0.00893828,-0.15888593,-0.6120007,0.23836859,0.15384486,0.011978026,-0.52170044,0.20208877,-0.07066814,-0.3573947,-0.047944244,-0.80857486,0.52315426
32,bone,408.9273,-12.81188,-0.21623258,0.52787715,0.020799829,-0.014210715,-0.04417263,-0.2645024,-0.1640079,-0.32247347,-0.37908158,-0.054606657,-0.21904774,0.20779334,0.35836902,0.060016748,-0.21860066,-0.27835956,0.4108491,-0.11371734,-0.3775822,0.4403886,0.20317459,0.2540156,-0.11078929,0.94268167,-0.7252143,-0.17885691,0.23479514,-0.4840384,-0.40749007,0.32673177,0.01066415,-0.008838995,-0.59163195,0.34156778,-0.48954228,-0.34086466,0.20924486,0.2220747,0.22998866,-0.056426313
33,bone,548.6571,0.36943257,-0.28855538,0.5581363,-0.06876689,0.2914855,0.005593873,-0.10907729,0.007913125,-0.2590483,0.17289941,-0.091029,0.11414121,-0.04493222,-0.16689865,0.034450673,-0.19159259,0.11920671,0.0486107,-0.15901871,-0.16179937,0.6704184,-0.35068992,0.62445694,0.52858645,0.08877651,0.14533621,-0.013921799,-0.41909552,0.13836755,0.16308361,0.6165137,-0.09089721,-0.4237465,0.27938798,-0.46802688,0.4100545,-0.3172943,0.15093572,0.047962327,0.47993213,-0.25001413
34,bone,407.2367,4.652963,-0.46213448,0.2739207,0.21631362,-0.030783435,0.4041136,0.021579558,0.028391488,0.25708318,0.14887556,0.07036404,-0.34069827,-0.12654036,-0.07621516,-0.21055846,-0.6198002,-0.15810373,-0.53719753,0.45053402,0.98170024,0.29629374,-0.17675887,0.22223082,-0.15381943,0.84111226,-0.17746498,-0.24852209,-0.66597015,-0.3206483,0.29527745,1.0118785,-0.20712803,-0.07109177,-0.040602777,-0.08805136,0.8525667,0.4462903,-0.037778877,0.50095475,-0.7446932,0.03820518
35,hook,351.50397,-26.390331,0.05847533,1.0670826,-0.37637597,-0.9549317,0.67614704,0.8169668,-1.4503008,0.6295108,0.30048847,0.46606746,0.05221813,0.48508734,0.42788556,-0.121808544,0.92360705,-0.25610754,0.35455462,-0.37338176,0.29571173,-0.80635023,-0.6205755,0.0346676,-0.43833578,-0.009509212,0.38748384,-0.5342491,0.5321127,-0.004142653,-0.12130616,-0.5647546,0.6294475,-0.21838766,-0.4904362,0.73285437,0.21350887,0.04234667,1.00419,0.40746963,0.80364496,-0.02380651
36,bone,517.09644,-1.1549493,-0.3149209,0.5245386,-0.045540795,0.26202798,0.13630204,-0.08563578,0.19210476,-0.16178462,0.29741526,0.102912866,0.26480496,0.06766478,0.10748405,0.015764302,-0.042027354,0.16473524,0.10651228,0.0162688,-0.49664462,0.51408786,-0.40621397,0.30753058,0.5809351,0.15687491,0.015021161,-0.27659902,-0.57885605,0.13064663,-0.23398884,0.06485941,0.00031209807,-0.57832885,0.5157391,-0.02795733,0.17245956,0.0058423937,0.06679239,-0.18632434,-0.14792465,-0.13154854
37,hook,373.41382,23.63225,-0.27093366,0.7720235,0.40941003,0.09429654,-0.5736062,0.031149318,0.044558402,-0.94492084,0.5570404,0.5006651,-0.3489724,0.58567387,0.00018726803,0.29714417,-0.14472799,0.15272963,0.09143244,-0.20503612,-0.22528146,-0.077316694,-0.5277493,-0.6987937,-0.26477545,0.3814816,-0.43536308,0.6310133,0.12962158,0.7352479,0.29955676,-0.72076225,-0.46352506,-0.7685111,-0.01975841,-0.29067418,-0.23232691,-0.28782624,-0.8623721,0.3767657,0.6563283,-0.09301114
38,bone,527.1671,30.597046,-0.0009407091,0.34658593,0.012615674,0.14393568,0.15033641,-0.15864973,-0.040812608,0.09733526,-0.12466038,0.0022827622,0.08085437,-0.14855145,0.2828706,0.22917695,0.752005,-0.52787536,0.8075676,-0.04060886,-0.52573854,0.36493266,-0.13802254,-0.07483831,0.29361805,0.2359824,0.22321407,-0.2691084,-0.45117283,0.12887745,0.04037338,0.4719773,-0.23067418,-0.205827,-0.38110864,-0.022968082,-0.39247972,0.2257673,-0.45657504,0.40832335,-0.28127587,0.3812525
39,treasure,415.37793,-0.3978417,0.11873698,0.5261564,0.46900657,0.014230442,-0.52592397,0.011747216,0.035213415,-0.37618124,0.30845422,0.7471576,-0.05581723,-0.7428721,0.29077312,0.38485506,-0.0031964302,-0.8641714,-0.28579974,0.5911898,-0.24742696,0.022979544,-0.15839705,-0.30608717,-0.33639207,-0.77229846,-0.22513127,0.5971367,-0.60005426,0.4251361,0.061215468,0.68249077,0.13694663,-0.26744974,0.55164534,0.67683446,-0.82089347,-0.6228282,0.28703186,0.286668,-0.6015929,-0.7123987
